DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(2.0m),Dir#1(2.0m),Speed#2(3.5m),Dir#2(3.5m),Speed#3(5.0m),Dir#3(5.0m),Speed#4(6.5m),Dir#4(6.5m),Speed#5(8.0m),Dir#5(8.0m),Speed#6(9.5m),Dir#6(9.5m),Speed#7(11.0m),Dir#7(11.0m),Speed#8(12.5m),Dir#8(12.5m),Speed#9(14.0m),Dir#9(14.0m),Speed#10(15.5m),Dir#10(15.5m),Speed#11(17.0m),Dir#11(17.0m),Speed#12(18.5m),Dir#12(18.5m),Speed#13(20.0m),Dir#13(20.0m)
3/28/2007 13:00,11.9,142.6,4.4,-6.8,16.723,27.12,0,0,0.016,296.57,0.02,284.74,0.053,227.29,0.071,259.48,0.047,265.14,0.006,225,0.019,295.2,0.049,291.37,0.017,156.37,-99,-99,-99,-99,-99,-99,-99,-99
3/28/2007 14:00,11.9,142.7,4.4,-6.8,16.715,27.07,0,0,0.091,204.03,0.084,221.12,0.034,233.47,0.061,217.06,0.04,188.53,0.04,227.05,0.039,197.97,0.048,262.87,0.015,227.73,-99,-99,-99,-99,-99,-99,-99,-99
3/28/2007 15:00,11.9,142.8,4.4,-6.8,16.709,27.1,0,0,0.018,206.57,0.043,230.71,0.004,270,0.052,236,0.017,305.54,0.059,313.64,0.049,279.46,0.049,315,0.037,91.55,-99,-99,-99,-99,-99,-99,-99,-99
3/28/2007 16:00,11.9,142.8,4.4,-6.8,16.71,27.09,0,0,0.049,178.83,0.044,155.77,0.022,147.72,0.011,344.74,0.039,136.04,0.03,191.69,0.028,120.26,0.016,127.57,0.072,352.78,-99,-99,-99,-99,-99,-99,-99,-99
3/28/2007 17:00,11.9,142.8,4.3,-6.8,16.71,27.05,0,0,0.012,155.56,0.073,160.08,0.032,280.95,0.016,183.58,0.017,120.96,0.041,143.97,0.035,149.04,0.031,153.43,0.083,276.19,-99,-99,-99,-99,-99,-99,-99,-99
3/28/2007 18:00,11.9,142.7,4.3,-6.8,16.711,27.03,0,0,0.035,221.5,0.031,218.37,0.022,0,0.016,18.43,0.027,336.25,0.018,26.57,0.022,18.43,0.052,93.3,0.061,128.37,-99,-99,-99,-99,-99,-99,-99,-99
3/28/2007 19:00,11.9,142.8,4.3,-6.8,16.694,27.02,0,0,0.052,239.04,0.007,105.95,0.01,233.13,0.019,128.66,0.005,78.69,0.025,26.57,0.031,256.87,0.02,210.47,0.08,311.46,-99,-99,-99,-99,-99,-99,-99,-99
3/28/2007 20:00,11.9,142.7,4.3,-6.7,16.687,27.01,0,0,0.004,255.96,0.02,101.31,0.01,196.7,0.011,232.13,0.047,12.26,0.015,31.61,0.023,23.2,0.041,124.08,0.028,157.07,-99,-99,-99,-99,-99,-99,-99,-99
3/28/2007 21:00,11.9,142.7,4.3,-6.8,16.683,27,0,0,0.016,243.43,0.046,37.87,0.022,30.07,0.054,158.2,0.039,196.56,0.008,90,0.009,347.47,0.009,186.34,0.059,282.63,-99,-99,-99,-99,-99,-99,-99,-99
3/28/2007 22:00,11.9,142.8,4.3,-6.8,16.693,26.99,0,0,0.036,197.93,0.011,180,0.053,159.19,0.036,181.59,0.025,274.57,0.024,304.99,0.017,310.24,0.043,97.94,0.027,167.01,-99,-99,-99,-99,-99,-99,-99,-99
